OBJECTID,IntersectionName,InstallDate,DetectionMethod,OwnedBy,MaintainedBy,LifeStatus,RetiredDate,RetiredReason,Settlement,Municipality,RMWID,ContractNumber,SHAPESTArea,SHAPESTLength
13941,King St S @ Waterloo Spur,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12056,ION,2.00005706,6.00008558938954
13942,King St S @ Waterloo Spur,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12057,ION,8.59350112,21.7256959314815
13943,King St S @ Waterloo Spur,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12058,ION,9.051716485,21.7997211614965
14311,Allen St W @ Caroline St S,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12059,ION,1.98768249,5.98769194899783
14312,Allen St W @ Caroline St S,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12060,ION,2.000017515,6.00002609244317
14313,Caroline St S @ William St W,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12061,ION,2.00004462,6.00000592751524
14314,Caroline St S @ William St W,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12062,ION,17.99974028,23.5999528501646
14315,Caroline St S @ William St W,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12063,ION,2.0262565,6.02643565286689
14316,Erb St W @ Caroline St N/Caroline St S,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12064,ION,17.99947737,23.5998944859333
14317,Northfield Dr W @ Parkside Dr,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12066,ION,21.601951035,27.602133821685
14318,Northfield Dr W @ Parkside Dr,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12067,ION,18.00001548,23.599876993055
14319,Northfield Dr W @ Parkside Dr,2017/09/01 04:00:00+00,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET12065,ION,17.999995805,23.6000685262339
