OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
56479,16067,Arterial,MAJOR,KING ST E,SPORTSWORLD DR,CRESSMAN AVE,4391,4457,4396,4438,REGIONAL RD  8,6,REG,TwoWay,REG PLAN 850,4/22/2003 12:00:00 AM,50,38353,2015,24HR,369.990298555091
56482,16022,Arterial,MAJOR,KING ST E,TU LANE ST,LIMERICK DR,4505,4553,,,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 1745,4/22/2003 12:00:00 AM,50,32658,2015,24HR,282.941349268945
56544,9861,Arterial,MAJOR,FREDERICK ST,ANN ST,BRUCE ST,536,570,537,569,REGIONAL RD  6,4,REG,TwoWay,REG PLAN 42,12/18/2003 12:00:00 AM,50,14605,2015,7-7 MON-SAT,137.608857545858
56553,6958,Arterial,MAJOR,VICTORIA ST N,ST LEGER ST,HERMIE PL,280,300,281,333,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 33,4/22/2003 12:00:00 AM,50,22014,2015,24HR,213.228026192684
56558,8898,Arterial,MAJOR,KING ST W,WELLINGTON ST S,LOUISA ST,647,659,648,670,REGIONAL RD 15,3,REG,TwoWay,REG PLAN 377,4/22/2003 12:00:00 AM,50,24968,2015,24HR,120.67310087169
56568,10142,Arterial,MAJOR,WEBER ST E,RAYMOND RD,EDMUND RD,646,668,641,667,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 657,4/22/2003 12:00:00 AM,50,17169,2015,7-7 MON-FRI,101.116650938829
56569,11675,Arterial,MAJOR,WEBER ST E,EDMUND RD,JACKSON AVE,678,688,677,685,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 657,4/22/2003 12:00:00 AM,50,17224,2015,7-7 MON-FRI,101.305527027199
56571,11704,Arterial,MAJOR,WEBER ST E,OTTAWA ST N,SYDNEY ST N,536,562,533,559,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 656,4/22/2003 12:00:00 AM,50,17002,2015,7-7 MON-FRI,122.042285321736
56572,10143,Arterial,MAJOR,WEBER ST E,SHELDON AVE N,RAYMOND RD,622,636,621,635,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 657,4/22/2003 12:00:00 AM,50,17113,2015,7-7 MON-FRI,107.369120518323
56584,1726,Arterial,MAJOR,VICTORIA ST S,WEICHEL ST,WESTMOUNT RD W,667,675,676,680,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 1256,4/22/2003 12:00:00 AM,50,22475,2015,24HR,115.40493047718
